"","disable","computer","poverty","a85a","a7584","a6574","black","asian","aindian","latino","chci","sparent","a5564","a2034","mortalityrate","Poor_health","Adult_obesity","Food_environment_index","Physical_inactivity","Uninsured","Adult_smoking","Low_birthweight","per_Female","Excessive_drinking","Primary_care_physicians","Access_to_exercise_opportunities","State"
"316",23.2,82.3,9.2,3.1,7.7,16,0.1,0.4,4,3.4,137.11,3.1,17.2,14.2,0.0726700175619209,0.1447396963,0.273,6.7,0.235,0.1476372925,0.1406647847,0.053211009,0.475798465,0.148982617,0.000614553,0.670990349,"Idaho"
"317",14.5,89.5,9.2,2.3,5,9.4,8.7,1.1,0.2,3.3,144.8,6.9,14.3,19.4,0.0291158242614223,0.1589402835,0.335,7.4,0.272,0.0559285428,0.1556307635,0.081802395,0.511937507,0.208205865,0.000484582,0.844022252,"Illinois"
"318",9.1,92.1,5.7,1.6,3.9,8.1,1.4,0.8,0.1,9.9,141.56,7,12.6,18.4,0.047084673938633,0.1364610743,0.319,8.6,0.241,0.0490372976,0.1488722742,0.069227231,0.500069394,0.226495492,0.000316575,0.879471865,"Illinois"
"319",13.3,87.3,10.2,2.4,4.7,9.2,15.2,0.8,0.2,10.4,137.58,7.6,13.1,19.8,0.0163600668944957,0.1775269392,0.325,7.9,0.248,0.0708690208,0.1558166183,0.086105263,0.508590284,0.19662761,0.000414867,0.813202408,"Illinois"
"320",8,93.8,4.5,1.9,4.2,8.9,4.8,11.9,0.2,14.3,162.49,4.6,14,18.9,0.013784354542214,0.1353249079,0.242,9.1,0.185,0.0593537002,0.1247022931,0.070833944,0.50928588,0.224201541,0.001331211,0.998162334,"Illinois"
"321",13.6,87.3,9.7,2.8,5.6,10.1,2.7,0.7,0.1,9.7,135.52,6,14.8,18.1,0.028328611898017,0.1557437784,0.276,8.2,0.266,0.064889997,0.1673870089,0.072092203,0.494766906,0.208130314,0.000350301,0.809416804,"Illinois"
"322",10.2,89.3,10.7,1.9,4.3,8.1,23.4,7.3,0.3,25.3,150.73,6.9,12.3,22.9,0.0216195640067461,0.1770658088,0.268,8.3,0.211,0.1062955588,0.1398659067,0.089576417,0.514451526,0.2230405,0.000941542,0.992058984,"Illinois"
"323",15.1,86.6,12.6,2.7,6.1,10.7,14.8,1,0.2,2.3,139.6,7.2,14.3,18,0.0257850103140041,0.1670472524,0.261,7.2,0.275,0.0585281324,0.1684824003,0.094173228,0.519737213,0.188189136,0.00094126,0.852060162,"Illinois"
"324",14.8,85.5,9.3,3.3,7.1,11.7,9.6,0.8,0.2,4,138.29,9.6,15.3,15.8,0.0379862802493688,0.1604591099,0.357,8.1,0.302,0.0591974462,0.1662000522,0.091816367,0.514882518,0.18857211,0.000437168,0.593594769,"Illinois"
"325",20.9,82.6,15.3,2.2,6.7,11.2,0.9,0.5,0.2,1.7,135.43,5.7,14,16.8,0.0361747758455854,0.1699484461,0.295,7.8,0.304,0.0732856006,0.1776849418,0.080625752,0.506001635,0.194523582,0.000379891,0.695305983,"Illinois"
